area	vertices	type	avg_x	avg_y
78.81	4	0	68.293	51.915
452.3	10	0	199.398	57.544
154.8	5	0	395.787	53.404
54.13	7	0	418.059	50.203
45.03	6	0	30.166	50.996
242.3	5	0	153.501	55.513
28.8	4	0	220.955	51.642
194.2	9	0	316.699	54.535
293.4	6	0	283.974	60.277
338.4	8	0	354.309	57.278
300.3	9	0	407.328	58.648
470.7	6	0	456.369	70.778
147.9	8	1	5.419	59.045
784.4	9	0	87.331	61.894
5.196	3	1	0.375	53.657
110.6	7	0	37.832	58.355
439.1	9	0	166.595	64.793
481.7	9	0	331.553	64.341
1.299	3	0	340.375	51.456
14.94	4	0	24.228	54.98
35.72	5	0	215.638	54.688
1.083	3	1	499.8	53.001
9.093	4	0	27.429	54.395
719.2	10	0	132.949	72.45
133.2	7	0	377.08	59.625
8.877	4	0	385.396	54.296
9.31	3	0	169.965	55.607
67.55	8	0	222.672	59.017
135.3	8	0	28.518	61.284
183.8	8	0	386.761	64.571
214.3	8	0	234.781	63.446
284.1	9	0	311.587	69.945
134.5	5	0	467.455	66.176
49.15	6	0	15.966	59.105
92.45	5	0	46.119	61.901
140.3	7	0	256.585	64.093
13.86	6	0	300.563	57.78
8.011	4	0	323.649	58.866
238.8	6	0	367.182	70.391
51.96	4	0	214.563	60.994
9.093	3	0	226.214	59.735
63.65	5	0	146.74	63.226
406.2	9	0	191.114	71.696
113.4	4	0	301.235	66.981
85.74	6	0	18.764	65.56
56.94	3	0	449.85	63.865
100.0	5	0	248.556	67.765
15.37	5	0	11.757	64.373
82.71	6	0	215.632	67.856
148.5	6	0	112.568	69.745
98.73	7	0	407.155	68.288
933.8	11	0	286.412	81.293
255.5	7	0	420.62	74.262
262.8	6	0	352.99	71.823
55.86	5	0	318.501	69.495
27.93	4	0	208.946	67.906
59.76	4	1	2.879	69.778
3.681	4	0	412.191	65.538
262.8	7	0	222.567	75.75
132.5	7	0	35.828	73.33
28.15	4	0	44.156	68.872
411.1	7	0	475.581	76.929
13.64	5	0	41.817	70.643
186.4	9	0	8.83	76.492
65.6	5	0	376.957	71.883
152.4	7	0	25.104	74.051
4.33	4	1	498.587	68.221
66.68	5	0	397.219	71.509
84.65	5	0	150.674	74.773
14.72	4	0	495.78	70.53
288.6	6	0	72.758	76.865
338.6	6	0	97.655	79.088
15.37	5	0	263.472	71.478
19.49	5	1	499.222	75.007
31.83	4	0	237.259	71.291
35.07	4	0	339.19	72.027
